"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
933,"microsoft/vscode-azureresourcegroups",89,781,39,72908,45077,819,506,5,81,NULL,1,4,5,15,9,934,577,12,0,3,56,142,17,78,0,0,0,0,218,44,712,0,1,8,4228,0,9,781,3,4,4,14,0,3483,12,2,50,6,25,3,0,0,0,1,1685,30,1,0,0,1,1,4,4,56,272,6,1,14,600256,NULL,14,1,1,26,0.027817396723646724,0.027702991452991453,0.00011440527065527066,0,3,0,"2022-03-27 09:54:56.327934","2022-03-27 09:54:56.327934"
934,"HiddenHopes/UniversityManagementSystem",8,98,91,3266,1331,408,166,7,31,NULL,2,4,2,2,1,332,13,0,0,0,0,3,3,0,0,0,0,0,0,16,0,0,1,2,14072,0,103,98,0,2,0,0,0,0,0,3,1770,186,590,62,0,0,0,1,0,16,6,0,0,1,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-27 09:55:11.060153","2022-03-27 09:55:11.060153"
935,"mrsnhl/giproject",1068,71,2,8641,6414,8,6,1,30,NULL,63,456,0,0,0,0,0,17,0,5,6,125,0,0,0,0,0,0,16,15,2,1,10,63,723,8,30,71,0,0,0,4,0,21137,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,4,1,2,0,0,0,0,0,0,0,"2022-03-27 09:59:37.75389","2022-03-27 09:59:37.75389"
936,"spacetelescope/pandokia",2370,4685,200,230456,97848,97,41,4,121,NULL,6,52,13,77,16,119,65,5,0,1,186,74,16,11,0,0,0,2,335,38,519,0,1,4,1891,1,140,2228,0,9,0,2,0,9648,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-27 10:09:17.373889","2022-03-27 10:09:17.373889"
937,"MicrosoftDocs/office-developer-project-class-web-ref-dotnet.es-ES",7,1347,293,364975,37,52139,5,45,51,NULL,1,2,4,1,1,52139,5,1,0,1,2,2,2,0,0,0,0,1,2355,123,29,0,2,2,11745,0,7,1347,0,1,0,2,0,569,1,2,10,5,5,2,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-27 10:09:28.337086","2022-03-27 10:09:28.337086"
938,"ramyrezzz/learnGit",334,1742,256,9818,1452,29,4,2,28,NULL,17,42,16,3,1,30,10,2,0,1,0,35,0,0,0,0,0,0,0,19,3,0,5,22,5322,0,9,1742,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-27 10:10:51.773986","2022-03-27 10:10:51.773986"
939,"MicrosoftDocs/dynamics-365-project-operations-pr.es-ES",22,726,125,29697,18637,1350,847,27,50,NULL,2,6,3,5,3,1746,1096,0,0,0,1,1,0,0,0,0,0,1,2490,4,0,0,1,1,7691,0,4,726,0,1,0,1,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-27 10:11:00.13548","2022-03-27 10:11:00.13548"
940,"ITSkillsCenter/bootcamp101",99,192,172,58242,9663,588,98,14,32,NULL,6,19,22,3,2,249,131,5,0,2,0,4,0,0,0,0,0,0,0,33,33,0,1,2,5336,0,6,192,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-27 10:11:08.538555","2022-03-27 10:11:08.538555"
941,"microsoft/sarif-python-om",25,919,417,6820,2211,273,88,21,74,NULL,2,9,4,5,1,461,251,9,0,1,5,5,1,0,0,0,0,1,380,34,267,0,1,2,128,0,3,919,0,2,0,21,0,2487,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,21,1,2,0,0,0,0,0,0,0,"2022-03-27 10:11:17.843482","2022-03-27 10:11:17.843482"
942,"Azure/terraform-azurerm-disk-snapshot",9,1265,1264,517,10,57,1,3,32,NULL,5,6,4,1,1,73,0,5,0,1,0,1,0,0,0,0,0,0,0,16,0,0,1,1,11,0,1,1265,0,4,0,3,0,1573,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,83,39,0,0,0,NULL,3,1,1,0,0,0,0,0,0,0,"2022-03-27 10:11:26.86857","2022-03-27 10:11:26.86857"
