"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
216,"JessonYue/LeetCodeLearning",1370,643,372,815980,16708,596,12,11,24,NULL,17,94,46,18,4,142,18,19,0,8,10,11,0,0,0,0,0,0,66,12,309,0,1,2,3272,0,3,643,0,6,0,38,0,1230,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,38,3,18,20,0.018069444444444444,0,0.018069444444444444,0,0,1,"2022-03-05 04:12:04.526752","2022-03-05 04:12:04.526752"
217,"MicrosoftDocs/devops-resource-center",8,785,780,883,395,110,49,1,23,NULL,4,6,2,3,1,76,56,4,0,1,26,68,28,0,0,0,0,0,215,34,971,0,1,7,17,0,1,785,0,0,0,10,0,2100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,10,1,1,0,0,0,0,0,0,0,"2022-03-05 04:12:25.560696","2022-03-05 04:12:25.560696"
218,"Azure/iot-ux-fluent-controls",991,1652,458,357425,249965,361,252,7,79,NULL,4,31,19,20,6,633,694,17,0,2,46,197,9,27,0,0,0,0,85,40,203,0,1,23,7910,0,43,1502,1,3,0,13,0,2826,18,2,22256,5299,11128,2649,0,0,0,8,2570,28,87,1,0,1,1,42,42,0,129,13,0,0,0,NULL,13,1,2,2,0.003096064814814815,0.003096064814814815,0,0,1,0,"2022-03-05 04:23:20.228274","2022-03-05 04:23:20.228274"
219,"Azure/onboarding-guidance",602,2033,1585,558330,14097,927,23,4,32,NULL,6,37,15,34,5,1144,95,16,0,1,14,19,3,9,0,0,0,0,261,32,65,0,1,3,69232,0,1,2034,0,8,0,30,0,10804,16,1,3,3,3,3,0,0,0,3,33,32,3,0,0,1,1,0,0,0,0,0,0,0,0,NULL,30,1,1,0,0,0,0,0,0,0,"2022-03-05 04:29:03.376072","2022-03-05 04:29:03.376072"
220,"Azure/iothub-explorer",192,2351,1228,10336,5011,54,26,2,61,NULL,1,4,27,3,2,41,29,53,0,2,18,21,0,8,0,0,0,0,409,41,523,0,1,2,39964,0,3,1934,0,3,0,112,0,7653,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,142,28,0,0,0,NULL,112,1,2,0,0,0,0,0,0,0,"2022-03-05 04:31:02.73327","2022-03-05 04:31:02.73327"
221,"predixdesignsystem/px-starter-kit-design",78,2353,1104,17236,2501,221,32,3,31,NULL,1,4,10,5,3,296,39,3,0,1,11,4,0,2,0,0,0,2,364,27,1973,0,1,1,1802,1,4,2353,0,4,0,27,13,1920,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,101,14,0,0,0,NULL,27,1,3,0,0,0,0,0,0,0,"2022-03-05 04:31:53.534295","2022-03-05 04:31:53.534295"
222,"microsoftgraph/msgraph-training-nodeexpressapp.pt-BR",25,1094,28,4889,2323,196,93,5,24,NULL,1,2,2,12,8,203,96,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,4,1094,0,0,0,0,0,2632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-05 04:32:18.593305","2022-03-05 04:32:18.593305"
223,"Azure-Samples/app-service-java-deploy-image-from-acr-to-linux",27,1724,94,6439,1691,238,63,2,19,NULL,1,3,13,2,1,366,190,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2,1724,0,1,0,1,0,2148,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,307,0,84,1,43,39801,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-05 04:33:14.561958","2022-03-05 04:33:14.561958"
224,"MicrosoftDocs/powerapps_script_test-pr.zh-tw",5,1117,108,46334,17224,9267,3445,99,45,NULL,3,4,2,2,1,9266,3444,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,2,1117,0,1,0,1,0,373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-05 04:33:28.654216","2022-03-05 04:33:28.654216"
225,"PowerShell/PowerShellEditorServices",2100,2479,4,238840,156156,114,74,5,166,NULL,3,21,49,30,9,122,94,163,0,3,4338,1726,180,1297,0,0,0,2,340,48,1090,0,1,23,6633,6,28,2479,1,3,1,448,1,9742,170,5,534,1196,106,239,0,0,5,2,618,44,5,0,0,1,1,93,93,32365,1218,8,0,449,14119948,NULL,448,1,15,22,0.40736847643097646,0.29898411195286195,0.10838436447811448,0,3,0,"2022-03-05 04:57:07.00688","2022-03-05 04:57:07.00688"
226,"Azure/azure-extension-foundation",35,1270,953,3449,459,99,13,4,69,NULL,2,6,4,7,4,83,15,3,0,1,0,19,1,0,0,0,0,0,0,31,34,0,1,3,54,0,5,1270,0,1,0,6,0,4139,3,1,87,12,87,12,0,0,0,1,90,26,2,0,0,1,1,0,0,0,0,0,0,0,0,NULL,6,1,1,0,0,0,0,0,0,0,"2022-03-05 04:57:36.644428","2022-03-05 04:57:36.644428"
227,"Azure/sap-hana",891,1341,101,128907,62454,145,70,7,193,NULL,2,12,23,35,11,168,110,138,0,2,635,1312,37,1285,0,0,0,0,477,43,630,0,2,11,18155,2,30,1341,1,5,0,169,0,311,143,6,2230,536,371,89,0,1,0,5,566,44,18,0,0,1,2,16,16,0,355,10,0,0,0,NULL,169,1,4,10,0.062427083333333334,0.020319444444444446,0.04210763888888889,0,6,0,"2022-03-05 05:08:37.709757","2022-03-05 05:08:37.709757"
228,"gizwits-docs/gizwits-docs",4048,1969,18,247355,67588,61,17,3,21,NULL,10,223,42,86,8,40,20,218,0,4,35,154,15,0,0,0,0,0,28,17,52,0,1,6,659594,0,14,1969,0,3,0,29,0,3011,219,1,1,1,1,1,0,1,0,1,0,16,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,29,1,1,0,0,0,0,0,0,0,"2022-03-05 05:47:01.394985","2022-03-05 05:47:01.394985"
229,"Mofiler/sdks",231,2930,855,1231549,1173875,5331,5082,12,47,NULL,3,10,3,46,15,393,111,0,0,0,7,17,8,15,0,0,0,0,96,62,4157,0,1,4,181702,0,9,2930,0,15,0,1,0,103,0,7,1103,91,157,13,0,0,0,1,5173,68,1,1,0,1,1,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-05 09:11:43.650743","2022-03-05 09:11:43.650743"
230,"DebugUself/debuguself.github.io",216,1800,510,14397,2038,67,9,2,27,NULL,3,23,11,8,3,42,18,11,0,3,24,18,10,11,0,0,0,1,261,42,328,0,1,3,627,5,1,1800,0,4,1,11,199,1376,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,11,1,1,0,0,0,0,0,0,0,"2022-03-05 09:13:45.139388","2022-03-05 09:13:45.139388"
231,"Azure-Samples/cognitive-services-dotnet-academic-knowledge-construct-paper-abstract",5,1767,1766,573,49,115,10,3,20,NULL,3,4,3,1,1,114,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1767,0,1,0,2,0,595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-05 09:13:56.950618","2022-03-05 09:13:56.950618"
232,"Azure-Samples/cognitive-services-node-sdk-samples",138,1572,281,27829,13147,202,95,3,57,NULL,3,14,17,5,2,137,42,35,0,2,22,52,6,7,0,0,0,0,89,31,2054,0,1,10,5798,0,6,1572,0,1,0,27,0,6874,36,3,144,99,48,33,0,0,0,1,11472,32,1,1,0,1,1,35,35,501,0,33,1,14,5509588,NULL,27,1,1,0,0,0,0,0,0,0,"2022-03-05 09:15:32.59468","2022-03-05 09:15:32.59468"
233,"MicrosoftDocs/azure-digitaltwins-rest-api",74,690,94,33224,7738,449,105,14,50,NULL,3,6,5,11,7,620,421,2,0,1,22,16,0,0,0,0,0,1,8440,24,36,0,1,1,236,0,11,690,0,1,0,3,0,373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,1,1,0,0,0,0,0,0,0,"2022-03-05 09:16:28.001893","2022-03-05 09:16:28.001893"
234,"MicrosoftDocs/partner-center-pr.de-de",1190,1929,83,204188,150581,172,127,8,26,NULL,2,8,20,59,10,171,126,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28336,0,5,1098,0,1,0,2,0,3362,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-06 00:05:46.215637","2022-03-06 00:05:46.215637"
235,"ziurregor/UDABOL-2021",4,165,163,58564,0,14641,0,54,26,NULL,1,2,2,1,1,9764,0,13,0,5,0,4,2,0,0,0,0,0,0,31,62,0,1,2,8406,0,45,165,0,3,0,0,0,13,13,2,8250,66649,4125,33324,0,0,0,1,117,46,10,0,0,1,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 00:06:01.342989","2022-03-06 00:06:01.342989"
236,"Azure/azure-mobile-engagement-unity",28,2172,1436,23734,1826,848,65,15,40,NULL,1,4,2,4,2,101,102,5,0,1,18,11,1,0,0,0,0,1,292,31,180,0,1,2,21496,0,1,2188,0,4,0,11,0,7794,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,11,1,2,0,0,0,0,0,0,0,"2022-03-06 00:06:29.069594","2022-03-06 00:06:29.069594"
237,"Azure-Samples/media-services-v3-java",148,1052,4,24558,9456,166,64,3,140,NULL,4,14,8,8,2,261,100,16,0,3,49,99,6,48,0,0,0,0,132,62,1744,0,2,12,74212,0,2,1052,0,1,0,4,0,5555,17,1,168,202,168,202,0,0,0,1,980,47,2,0,0,1,1,34,34,776,0,42,1,22,374425923,NULL,4,1,1,0,0,0,0,0,0,0,"2022-03-06 00:08:11.660386","2022-03-06 00:08:11.660386"
238,"Azure/azure-iot-pcs-remote-monitoring-java",89,1772,453,3417,1376,38,15,3,78,NULL,2,5,17,5,2,41,16,31,0,1,44,72,0,46,0,0,0,0,138,37,1022,0,1,4,349,0,12,1772,0,2,3,51,0,6065,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,1482,9,0,0,0,NULL,51,1,2,0,0,0,0,0,0,0,"2022-03-06 00:09:17.581788","2022-03-06 00:09:17.581788"
239,"Azure/Azure-Lighthouse-samples",401,1081,176,43229,10750,108,27,3,53,NULL,3,41,22,10,3,129,72,229,0,5,95,121,8,0,0,0,0,0,267,38,228,0,1,6,5100,0,1,1081,0,2,0,199,0,7637,231,1,118,0,118,0,0,0,0,8,110,90,5,0,0,1,1,0,0,0,0,0,0,0,0,NULL,199,1,6,0,0,0,0,0,0,0,"2022-03-06 00:13:28.70822","2022-03-06 00:13:28.70822"
240,"Azure-Samples/resources-java-manage-resource",51,2090,459,11592,5815,227,114,2,29,NULL,1,6,13,3,2,272,179,3,0,1,15,12,2,0,0,0,0,1,43,19,11,0,1,3,142,0,2,2090,0,1,0,1,0,1623,3,1,2,2,2,2,0,1,0,1,0,24,1,0,0,1,1,12,12,322,0,43,0,35,30222,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-06 00:14:09.454155","2022-03-06 00:14:09.454155"
241,"githubteacher/intro-december-2015",120,2287,1415,244,32,2,0,1,53,NULL,40,118,38,1,1,1,0,7,0,6,146,98,22,0,0,0,0,1,44,23,30,0,98,98,40,0,38,2287,0,1,0,4,0,739,7,4,10,0,2,0,0,0,0,1,44,23,1,0,0,1,4,0,0,0,0,0,0,0,0,NULL,4,1,1,0,0,0,0,0,0,0,"2022-03-06 00:15:39.030043","2022-03-06 00:15:39.030043"
242,"MicrosoftDocs/learn-test-sandbox.zh-cn",46,1283,12,2223,449,48,10,4,33,NULL,3,10,7,6,2,49,9,9,0,2,5,4,0,0,0,0,0,1,3418,23,15,0,1,1,6525,0,15,1283,0,1,0,3,0,373,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,1,1,0,0,0,0,0,0,0,"2022-03-06 00:16:24.989934","2022-03-06 00:16:24.989934"
243,"MicrosoftDocs/EnableXliffTranformGitHub.en-CA",2,1300,1300,661,93,331,47,5,96,NULL,1,1,1,2,1,330,46,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,1300,0,1,0,1,0,373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-06 00:16:34.989728","2022-03-06 00:16:34.989728"
244,"microsoftgraph/msgraph-training-java.es-ES",15,968,29,3133,1394,209,93,5,23,NULL,1,2,2,7,5,223,99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,4,968,0,0,0,1,0,1508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-06 00:16:52.711199","2022-03-06 00:16:52.711199"
245,"MicrosoftDocs/security-updates.nl-nl",99,1635,104,1217323,18780,12296,190,38,22,NULL,7,36,6,14,1,39229,25710,3,0,1,21,19,0,0,0,0,0,1,10187,9,5,0,2,4,13314,0,10,1636,0,1,0,1,0,373,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-06 00:18:12.937319","2022-03-06 00:18:12.937319"
246,"Azure/remote-monitoring-services-dotnet",1175,1772,984,880539,283603,749,241,15,104,NULL,4,44,24,34,9,233,153,44,0,2,159,253,0,241,0,0,0,0,235,43,977,0,2,66,4349,0,44,1325,0,7,5,29,0,6035,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,38,8,0,0,0,NULL,29,1,2,0,0,0,0,0,0,0,"2022-03-06 00:30:00.944312","2022-03-06 00:30:00.944312"
247,"Azure-Samples/Hybrid-Compute-Python-Manage-VM",16,1229,200,1202,155,75,10,1,33,NULL,2,7,5,3,1,75,7,7,0,1,0,4,1,0,0,0,0,0,0,39,568,0,1,1,21,0,1,1229,0,1,0,2,0,4744,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,290,0,31,0,290,8351,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-06 00:30:19.489549","2022-03-06 00:30:19.489549"
248,"mattqfang/PalindromeDetector",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,76,0,0,0,0,0,1,1,1,1,0,0,0,0,30,5979,0,1,1,115,0,34,915,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,5979,30,1,1,0,1,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 00:30:31.620617","2022-03-06 00:30:31.620617"
249,"MicrosoftDocs/OfficeDocs-FastTrack-pr.zh-CN",211,1315,31,29800,25139,141,119,7,26,NULL,1,5,0,0,0,0,0,1,0,1,2,2,2,0,0,0,0,1,1560,123,29,0,2,2,6218,0,7,1315,0,1,0,2,0,439,1,2,7,8,3,4,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-06 00:32:48.776687","2022-03-06 00:32:48.776687"
250,"Azure-Samples/search-node-indexer-demo",22,2543,404,10702,357,486,16,3,38,NULL,2,8,5,2,1,30,27,3,0,1,1,2,0,0,0,0,0,0,58,46,120,0,1,1,268,0,2,1508,0,2,0,4,0,1787,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,4,1,1,0,0,0,0,0,0,0,"2022-03-06 00:33:10.86377","2022-03-06 00:33:10.86377"
251,"OfficeDev/office-js-docs-reference.ja-jp",956,1263,16,9737792,3987028,10186,4171,90,26,NULL,3,101,5,191,32,10196,4174,2,0,1,7,3,3,0,0,0,0,2,516,89,45,0,1,2,85844,0,6,1263,0,3,0,3,0,4562,2,3,11,10,3,3,0,2,0,1,45,89,1,0,0,1,2,0,0,0,0,0,0,0,0,NULL,3,1,1,0,0,0,0,0,0,0,"2022-03-06 00:50:02.215186","2022-03-06 00:50:02.215186"
252,"Azure/Accord-NET",5,1314,1314,5051991,331,1010398,66,61,20,NULL,5,5,2,1,1,165,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259209,0,1,1314,0,14,0,6,0,10201,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,6,1,2,0,0,0,0,0,0,0,"2022-03-06 00:50:24.456269","2022-03-06 00:50:24.456269"
253,"Azure/oms-agent-for-linux-boshrelease",80,1826,780,3405,1060,43,13,4,50,NULL,2,8,6,11,4,44,20,8,0,1,13,15,2,0,0,0,0,0,112,45,220,0,1,2,84,0,2,1826,0,1,1,9,0,3810,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,249,286,6,1,41,50405367,NULL,9,1,1,0,0,0,0,0,0,0,"2022-03-06 00:51:24.050122","2022-03-06 00:51:24.050122"
254,"Azure/SmartDetectorsMonitoringAppliance",62,1228,626,45026,6869,726,111,16,158,NULL,1,3,9,6,5,786,161,5,0,1,40,83,6,6,0,0,0,0,312,45,222,0,1,6,845,0,25,1572,0,2,0,8,0,97,5,6,13,13,2,2,0,0,0,1,2514,77,2,1,0,1,6,0,0,0,0,0,0,0,0,NULL,8,1,1,0,0,0,0,0,0,0,"2022-03-06 00:52:23.939334","2022-03-06 00:52:23.939334"
255,"Azure-Samples/functions-python-inceptionv3-inference",22,1055,872,26782,92,1217,4,2,24,NULL,3,7,6,3,1,1338,4,10,0,1,15,20,5,14,0,0,0,0,38,32,10705,0,1,1,322,0,5,1055,0,1,0,0,0,2976,10,5,8,8,1,1,0,0,0,1,11238,33,1,0,0,1,1,6,6,447,0,37,1,74,296657,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 00:52:56.670977","2022-03-06 00:52:56.670977"
256,"PeterWolf-tw/ESOE-CS101-2017",572,1627,1502,74867,19128,131,33,3,23,NULL,7,49,56,9,3,71,33,12,0,2,1,7,1,0,0,0,0,0,11,19,2,0,1,2,1144,0,2,1627,0,1,0,8,0,714,13,1,50,0,50,0,0,0,0,2,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,8,1,2,0,0,0,0,0,0,0,"2022-03-06 00:58:25.627852","2022-03-06 00:58:25.627852"
257,"dilshanth10/hrm-system-frontend",2,1221,1220,80096,26,40048,13,143,22,NULL,1,1,1,2,1,40048,13,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13268,0,4,1220,0,4,0,0,0,1034,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 00:58:37.206556","2022-03-06 00:58:37.206556"
258,"githubteacher/githubfordevelopers-april",296,1797,1790,3154,238,11,1,1,42,NULL,99,288,58,3,1,5,0,11,0,6,510,157,20,118,0,0,0,3,118,36,94,0,52,131,74156,2,59,1797,0,0,1,4,0,1664,11,19,4810,15,253,0,0,0,1,79,58,32,16,0,0,1,17,0,0,0,0,0,0,0,0,NULL,4,2,3,0,0,0,0,0,0,0,"2022-03-06 01:02:08.394604","2022-03-06 01:02:08.394604"
259,"Azure-Samples/event-grid-relay-listener",16,1650,904,1341,338,84,21,2,40,NULL,3,7,5,2,1,48,10,7,0,2,3,6,1,1,0,0,0,0,236,40,275,0,1,3,18,0,1,1650,0,1,0,12,0,2691,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,328,0,25,1,328,8556,NULL,12,1,1,0,0,0,0,0,0,0,"2022-03-06 01:02:29.05699","2022-03-06 01:02:29.05699"
260,"quivers031/BelajarGitHub",3,461,461,558,1,186,0,3,22,NULL,3,3,1,3,1,186,0,1,0,1,0,2,0,0,0,0,0,0,0,40,4,0,2,2,19,0,31,461,0,1,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 02:44:31.99509","2022-03-06 02:44:31.99509"
261,"spacetelescope/stwcs",814,4951,96,213145,27244,262,33,3,162,NULL,2,11,15,46,18,203,60,13,0,1,255,190,6,164,0,0,0,1,322,38,474,0,1,5,29524,3,18,2207,2,1,2,2,0,761,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,379,11,0,0,0,NULL,2,1,1,2,0.10225694444444444,0.08721064814814815,0.015046296296296295,0,2,0,"2022-03-06 02:53:09.070021","2022-03-06 02:53:09.070021"
262,"Azure/azure-functions-tooling-feed",319,1362,1,18303,1162,57,4,1,42,NULL,2,5,0,0,0,0,0,22,0,2,104,325,13,3,0,0,0,0,118,26,29,0,1,7,1093,0,31,1362,0,2,16,19,0,3966,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,801,3,3,1,400,107340887,NULL,19,1,1,0,0,0,0,0,0,0,"2022-03-06 02:56:27.2684","2022-03-06 02:56:27.2684"
263,"ipol2n/fan-finder",57,1269,1267,16809,17572,295,308,5,27,NULL,29,46,2,24,2,337,327,8,0,3,0,1,1,0,0,0,0,0,0,5,0,0,1,1,2127,0,18,1269,0,5,0,0,0,13,8,1,263,8,263,8,0,0,0,8,0,5,9,0,0,1,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 02:57:06.476425","2022-03-06 02:57:06.476425"
264,"Azure/Networking",9,892,487,1455,9,162,1,1,16,NULL,2,5,3,3,1,161,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,1,892,0,0,0,2,0,3109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,265,0,25,1,265,4425,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-06 02:57:20.783635","2022-03-06 02:57:20.783635"
265,"Azure-Samples/compute-java-manage-virtual-machine-using-vm-extensions",39,1983,95,11946,5751,306,147,3,24,NULL,1,4,11,3,2,333,217,5,0,1,0,4,0,0,0,0,0,0,0,17,0,0,1,1,115,0,2,1990,0,1,0,1,0,1841,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,312,0,56,0,39,32198,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-06 02:57:52.731564","2022-03-06 02:57:52.731564"
266,"microsoft/accessibility-insights-for-android-service",125,736,19,20617,10059,165,80,5,640,NULL,1,5,15,5,3,264,131,37,0,3,110,149,5,148,0,0,0,0,277,71,3285,0,1,6,571,0,6,736,1,2,0,34,0,11349,37,1,1,1,1,1,0,0,0,1,5860,106,1,2,0,1,1,8,8,2562,624,50,1,320,3542835,NULL,34,1,2,10,0.14406828703703703,0.13852546296296298,0.005542824074074074,0,2,0,"2022-03-06 02:59:37.138927","2022-03-06 02:59:37.138927"
267,"OfficeDev/office-js-docs-pr",6941,2392,2,968093,791734,139,114,6,79,NULL,5,121,99,47,12,85,87,204,0,4,10378,3171,41,1698,0,0,0,3,1841,43,366,2,2,17,66639,0,20,1580,0,1,0,316,0,3649,211,9,458,112,50,12,0,2,1,2,44,49,2,0,0,1,3,0,0,0,0,0,0,0,0,NULL,316,1,31,0,0,0,0,0,0,0,"2022-03-06 04:14:52.068941","2022-03-06 04:14:52.068941"
268,"Azure/cortana-intelligence-energy-demand-forecasting",100,1970,1255,7512,2615,75,26,4,50,NULL,4,12,3,20,5,102,66,20,0,1,0,29,0,0,0,0,0,0,0,24,6,0,1,4,15869,5,3,1972,0,0,0,24,0,5510,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,24,1,1,0,0,0,0,0,0,0,"2022-03-06 04:15:55.592877","2022-03-06 04:15:55.592877"
269,"cahirwpz/mimiker",1389,2301,44,369654,181445,266,131,7,121,NULL,3,12,33,40,15,311,174,41,0,2,1399,1200,89,526,0,0,0,1,321,35,318,0,2,8,6288,5,5,2301,2,10,0,166,0,4915,41,67,45153,1470,673,21,0,0,6,15,183,35,10,1,0,1,4,0,0,0,0,0,0,0,0,NULL,166,1,4,40,1.4933764467592592,0.9773802083333333,0.5159962384259259,0,5,0,"2022-03-06 04:32:36.337209","2022-03-06 04:32:36.337209"
270,"microsoft/SSMA-Extensions",6,1761,1747,543,10,91,2,2,31,NULL,2,3,3,2,1,133,44,6,0,2,0,1,1,0,0,0,0,0,0,43,383,0,1,1,9,0,1,1761,0,1,0,6,0,352,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,6,1,1,0,0,0,0,0,0,0,"2022-03-06 04:32:49.273806","2022-03-06 04:32:49.273806"
271,"MicrosoftDocs/nav-content.en-nz",34,1718,94,54310,7670,1597,226,41,46,NULL,1,2,7,4,3,1597,225,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6687,0,6,1718,0,2,0,2,0,12751,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-06 04:33:19.342915","2022-03-06 04:33:19.342915"
272,"obsidiansystems/obelisk-https",7,1597,828,159,48,23,7,1,51,NULL,2,3,2,1,1,10,8,0,0,0,16,8,0,0,0,0,0,2,144,30,70,0,1,3,5,0,6,1597,0,1,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-06 04:33:35.035069","2022-03-06 04:33:35.035069"
